Date,Comments
"Thursday, September 28, 2023 at 11:47 AM","['Naya bazar ma pani jadan garnu paryo sis ajai', '3month KO Kati lagx', 'Mb Sharma please check your inbox', 'Naya bazar ma pani jadan garnu paryo sis ajai', 'Malai ajhai Jadan garnu xha']"
"Thursday, September 28, 2023 at 7:37 AM",Nan
"Monday, September 25, 2023 at 10:19 AM",Nan
"Thursday, September 21, 2023 at 9:21 AM","['Naya bazar ma pani jadan garnu paryo sis ajai', '3month KO Kati lagx', 'Mb Sharma please check your inbox', 'Fibernet jaha pani jadan garna milxa', 'Bhim Lama please check your inbox', '200ko monthly Kati xa sir', 'ओम प्रकाश चौधरी please check your inbox', '3month KO Kati lagx', 'Mb Sharma please check your inbox', 'Looking good', 'Yakendra Dhakal please check your inbox', 'Yo service palpa ko kun kun thau ma available xa', 'Sagar Prithi please check your inbox', 'अनि 10mbps को पैकेज कतै हेरिएन,खोइ हराएको छ कि,छुटेको छ।', 'Radheshyam Yadav please check your inbox', 'Kasri jodn hun xa', 'Ãjąý Šåh please check your inbox']"
"Wednesday, September 20, 2023 at 5:18 PM",Nan
"Monday, September 18, 2023 at 7:23 AM",Nan
"Monday, September 18, 2023 at 7:08 AM",Nan
"Friday, September 15, 2023 at 10:40 AM",Nan
"Thursday, September 14, 2023 at 8:17 AM",Nan
"Friday, September 8, 2023 at 6:14 PM",Nan
"Thursday, September 7, 2023 at 6:06 PM",Nan
"Wednesday, September 6, 2023 at 7:23 AM",Nan
"Monday, September 4, 2023 at 8:30 AM",Nan
"Sunday, September 3, 2023 at 5:48 PM",Nan
"Thursday, August 31, 2023 at 7:54 AM",Nan
"Tuesday, August 29, 2023 at 4:53 PM",Nan
"Thursday, August 24, 2023 at 4:40 PM","['', '', '', 'Is it available in siraha', 'Stylishness A Ali please check your inbox', 'Nice', 'Sushant Chy please check your inbox', 'good', 'https://drive.google.com/.../12v3nZ9JNSZVtTWEvw9P.../view...', 'Nice', 'Harish Bhatt please check your inbox', 'Hello', 'Suman Ghaley please check your inbox', '50 mb ko 1 barshak ko laagi kati parchha', 'Nir B Glan please check your inbox', '75Mbps lai kati parxa', 'Nabraj DC please check your inbox', '50mbps price', 'Sanjoy Yadav please check your inbox', 'Tv ra 50mbps ko yearly Kati parxa', 'Nishan Raj Timalsina please check your inbox', 'Dowe', 'Sandeep Patel please check your inbox', 'True ho', 'Niraj Pandey please check your inbox', 'के लिनु होला', 'Kiran Limbu please check your inbox me', 'Internet ra dishtv ko kati lagxa installation garda. Internet 100 Mbps ko', 'Stylishness A Ali please check your inbox', 'Siraha ma available xa ki xaina', 'Stylishness A Ali please check your inbox', '75 mbps ko kato ho?', 'Bidari Pawan please check your inbox', 'Renew ko lagi naya pack athawa offer kehi chhaina?', 'Khagendra Prasad please check your inbox', '100 mbps ko barshik katiparxa', 'Tanka Prasad please check your inbox', '50 mbps price', 'Om Dahal please check your inbox', '200mb ko kati parxa', 'Sanjib Kumar Thakur please check your inbox', 'Price', 'Bhumika Rokha please check your inbox', 'Itv sahit 50 mbps kati parxa?', 'Jitendra Chaudhary please check your inbox', '150 Mb ko kati parxa?', 'Ramsewak Pal please check your inbox', '150 Mb kati parxa?', 'विश्व पञ्चाङ्ग निर्णय संघ please check your inbox', '100 Mbps को कति पर्छ?', 'Ramnarayan Chaudhary please check your inbox', 'Nice', 'Mira Timalshena please check your inbox', 'धेरै राम्रो छ छिटो फास्ट सेवा को लागि भरपर्दो net DishHome Fibernet-Timess', 'हाम्रो गाउँ हाम्रो ठाउँ बाट भागेयो पैसा लुटेर fiber net को संचालक', 'मलाई अति मन पर्न net कति फास्ट धेरै राम्रो छ fiber net', 'मिल्छ भने हाम्रो गाउँ हाम्रो घर मा फेरि जोडने चाहाना छ', 'DishHome Fibernet-Times', 'केशब छेत्री please check your inbox', 'Nice', 'Sushant Chy please check your inbox', '150 Mb kati parxa?', 'Tej Prasad Sharma please check your inbox', 'Price', 'Umesh Parki please check your inbox', 'Nice', 'Prahlad Nepal please check your inbox', 'Nice', 'Kiran Bohara please check your inbox', 'Nice', 'Sitesh Karna please check your inbox']"
"Monday, August 21, 2023 at 7:50 AM",Nan
"Thursday, August 17, 2023 at 5:15 PM",Nan
"Sunday, August 13, 2023 at 4:59 PM",Nan
"Saturday, August 12, 2023 at 9:15 AM",Nan
"Wednesday, August 9, 2023 at 5:04 PM",Nan
"Tuesday, August 8, 2023 at 8:05 AM",Nan
"Sunday, August 6, 2023 at 5:16 PM",Nan
"Sunday, August 6, 2023 at 8:07 AM",Nan
"Monday, July 31, 2023 at 7:14 AM",Nan
"Tuesday, July 25, 2023 at 5:40 PM",Nan
"Saturday, July 22, 2023 at 8:58 AM",Nan
"Tuesday, July 18, 2023 at 5:43 PM",Nan
"Friday, July 14, 2023 at 7:42 AM",Nan
"Tuesday, July 11, 2023 at 5:40 PM","['', '', '', '', '', '', '', '100 Mbps 1 tv kati parxa 1 yrs ko new lai', 'Abik Bhetwal please check your inbox', 'Does this include iptv', 'Bipin Chauhan please check your inbox', '', 'for 1 month?', 'Gobind Pajiyar please check your inbox', 'I need tv also', 'Hari Acharya please check your inbox', 'Does this include iptv', 'Bipin Chauhan please check your inbox']"
"Thursday, July 6, 2023 at 6:17 PM",Nan
"Tuesday, July 4, 2023 at 5:01 PM",Nan
"Monday, July 3, 2023 at 7:22 AM",Nan
"Sunday, July 2, 2023 at 7:10 PM",Nan
"Saturday, July 1, 2023 at 8:02 AM",Nan
"Friday, June 30, 2023 at 7:54 AM",Nan
"Thursday, June 29, 2023 at 7:15 AM",Nan
"Tuesday, June 27, 2023 at 6:32 PM","['', '', '', '', '', '', '', '', '', '', '', 'त्यो असार 15 लेखेको ठाउमा धानको पो राख्नु पर्ने नचिनेर होला गहुँ पो परेछ', ""I'm interested!"", 'Mʌʜʌʀʌ Cʜʌĸʀʌ please check your inbox', '24 ni bhanna milxa 54 ni right ho', '50 Mbps with tv??', 'Prem Prasad Upreti please check your inbox', '50 MBps', 'मणी ज्ञवाली please check your inbox', 'detail please is it there all with TV....and same offer is in nepalgunj area also', 'दि नेश नबिना गुप्ता please check your inbox', 'Internet with iptv ho ki nai', 'Babu Raja Shrestha please check your inbox', '50 Mbps with tv?', 'Anil Dhakal please check your inbox', '50mbps', 'Bikash Pokhrel please check your inbox', '150 with tv', 'R.c. Sapkota please check your inbox', ""I'm interested!"", 'Mʌʜʌʀʌ Cʜʌĸʀʌ please check your inbox']"
"Tuesday, June 27, 2023 at 10:27 AM","['', '', '', '', '', '', '', '', '', '', '', 'त्यो असार 15 लेखेको ठाउमा धानको पो राख्नु पर्ने नचिनेर होला गहुँ पो परेछ', ""I'm interested!"", 'Mʌʜʌʀʌ Cʜʌĸʀʌ please check your inbox', '24 ni bhanna milxa 54 ni right ho', '24', '11', '24', '24', '14', '14', '5+5+5=15', '5+4+4=13', '5+4-2=7', '10×2+4=20+4', '20+4= 24 ans', 'DishHome Fibernet-Times', '50 Mbps', '24', '24', '24 ni bhanna milxa 54 ni right ho', '24', '14', '24', '24', '24', '5+5+5=15', '5+4+4=13', '5+4-2=7', '10*2+4=24', 'DishHome Fibernet-Times', '5+5+5=15', '5+4+4=13', '5+4-2=7', '10*2+4=24', '10*2+4=24', '14']"
"Sunday, June 25, 2023 at 12:35 PM",Nan
"Thursday, June 22, 2023 at 6:34 PM",Nan
"Monday, June 19, 2023 at 4:37 PM",Nan
"Wednesday, June 14, 2023 at 4:24 PM",Nan
"Monday, June 12, 2023 at 4:51 PM",Nan
"Saturday, June 10, 2023 at 12:54 PM",Nan
"Thursday, June 8, 2023 at 5:13 PM",Nan
"Wednesday, June 7, 2023 at 5:38 PM",Nan
"Monday, June 5, 2023 at 7:17 PM",Nan
"Sunday, June 4, 2023 at 5:40 PM",Nan
"Friday, June 2, 2023 at 4:08 PM","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Saii ho', 'बिज्ञापन फेसबुक पेजमा please check your inbox', 'international standard organization', 'international standard organization']"
"Thursday, June 1, 2023 at 4:35 PM",Nan
"Wednesday, May 31, 2023 at 5:54 PM",Nan
"Tuesday, May 30, 2023 at 5:47 PM",Nan
"Monday, May 29, 2023 at 8:07 AM",Nan
"Sunday, May 28, 2023 at 5:29 PM",Nan
"Saturday, May 27, 2023 at 7:00 PM",Nan
"Friday, May 26, 2023 at 5:07 PM",Nan
"Thursday, May 25, 2023 at 5:10 PM",Nan
"Thursday, May 25, 2023 at 8:07 AM",Nan
"Monday, May 22, 2023 at 5:23 PM","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'सर भएन के', '.... हाम्रो पर्बत जिल्लामा पनि फाइबर नेट ल्याउनु पर्यो के ....डिलरमा सम्पर्क गर्दा आको छैन हाम्रो तिर भन्नुहुन्छ', 'Yadav Pd Bhusal please check your inbox', '50 mbps ko kati price honi for 1 year ko lagee?? Banepa ko lagee', 'Razan Tmg please check your inbox', '1 year ko lagee kati per xa same rate nai ho ra???', 'Razan Tmg please check your inbox', 'सर भएन के', '.... हाम्रो पर्बत जिल्लामा पनि फाइबर नेट ल्याउनु पर्यो के ....डिलरमा सम्पर्क गर्दा आको छैन हाम्रो तिर भन्नुहुन्छ', 'Yadav Pd Bhusal please check your inbox']"
"Friday, May 19, 2023 at 5:00 PM",Nan
"Wednesday, May 17, 2023 at 6:39 PM",Nan
"Wednesday, May 17, 2023 at 8:55 AM",Nan
"Monday, May 8, 2023 at 9:30 PM","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'सर भएन के', '.... हाम्रो पर्बत जिल्लामा पनि फाइबर नेट ल्याउनु पर्यो के ....डिलरमा सम्पर्क गर्दा आको छैन हाम्रो तिर भन्नुहुन्छ', 'Yadav Pd Bhusal please check your inbox', '50 mbps ko kati price honi for 1 year ko lagee?? Banepa ko lagee', 'Razan Tmg please check your inbox', 'Chiya ko mulyA chi', 'Dipesh Thapa please check your inbox', 'https://wp.me/paMT26-ax', '', '', '', '', 'prise', 'Yadav Pahadi please check your inbox', 'Birgunj? Connection available? Detail me', 'Alinka Pokhrel please check your inbox', 'price please.', 'Anish Shrestha please check your inbox', 'Chiya ko mulyA chi', 'Dipesh Thapa please check your inbox', 'which places available now', 'Dipen Nagarkoti please check your inbox', 'Price?', 'RA Vi please check your inbox']"
"Friday, May 5, 2023 at 7:31 AM",Nan
"Monday, May 1, 2023 at 8:21 AM",Nan
