Date,Comments
"Sunday, September 24, 2023 at 1:45 PM","['50 Ko 100 chaii kasari hunchha sir mero 50 mbps ko xa', '', '', '', '', '', '3 mnths ko kati', 'Priya Sharma 3000']"
"Sunday, September 17, 2023 at 8:28 PM",Nan
"Wednesday, September 6, 2023 at 1:40 PM",Nan
"Thursday, August 31, 2023 at 11:43 AM",Nan
Nan,Nan
"Sunday, July 23, 2023 at 12:04 PM","['50 Ko 100 chaii kasari hunchha sir mero 50 mbps ko xa', 'एक बर्षको कतिलाग्छ हजुर', 'Pp kasari ho', 'मलाई तपाईंहरुको wifi देखि यति दिक्क लागि सक्यो कि........', 'चलाउदा चलाउदै net जान्छ … See more', 'See more', '100MBps, full cost with installation?', 'एक बर्षको कतिलाग्छ हजुर', 'यो दुइटा एकै हो र?', 'Detail please', 'Dish home tv ma matra herna ko laagi pani monthly 100 ma hunx sir', 'ल हेर्नुस यो नेट को पारा 75mbps ko ho एउटा मोबाईल प्रयोग गर्दा त यस्तो गति 10वटा चलाउदा झन के होला', '677 per month bhanera 1000 Lina thalxan I know that. Yahi net ho mero', 'I need', 'Kaushal Yadav cg net ko lagi contact garnu hola 9801492132', '3000 रे...मलाइ किन 3750 लेको त', 'साँच्चिकै हो', 'Yearly connection ko kati']"
"Friday, July 14, 2023 at 6:47 PM","['50 Ko 100 chaii kasari hunchha sir mero 50 mbps ko xa', 'एक बर्षको कतिलाग्छ हजुर', 'Pp kasari ho', 'मलाई तपाईंहरुको wifi देखि यति दिक्क लागि सक्यो कि........', 'चलाउदा चलाउदै net जान्छ … See more', 'See more', 'Are you worried about the old internet that keeps you rotated?? एक हफ्तामा एक दिन जहिलै नेत चल्दैन भनेसी मैले एक महिनामा ४ दिन को हिसाबले १ वर्षमा ४८ दिन घाता खाइराछु। यसको भरपाइ कल्ले दिन्छ अझै ठुला कुरा गर्ने जो चोर ऊस्कै ठुलो सोर।', 'Pp kasari ho', 'Fata ISP internet service chai ramro dinu xaina ani tme haru sales ko lagi esto campaign or post garchhau DishHome Fibernet']"
"Friday, April 14, 2023 at 7:00 AM",Nan
"Monday, April 3, 2023 at 2:01 PM",Nan
"Thursday, March 30, 2023 at 7:00 AM",Nan
"Tuesday, March 21, 2023 at 7:00 AM",Nan
"Sunday, March 19, 2023 at 3:59 PM",Nan
"Wednesday, March 8, 2023 at 3:17 PM",Nan
"Wednesday, March 8, 2023 at 11:29 AM",Nan
"Monday, March 6, 2023 at 7:00 AM",Nan
"Monday, February 27, 2023 at 3:28 PM",Nan
"Tuesday, February 21, 2023 at 7:00 AM",Nan
"Sunday, February 19, 2023 at 7:00 AM",Nan
"Saturday, February 18, 2023 at 7:00 AM",Nan
"Tuesday, February 14, 2023 at 6:39 AM",Nan
"Monday, February 13, 2023 at 7:00 AM",Nan
"Sunday, February 12, 2023 at 1:21 PM",Nan
"Saturday, February 11, 2023 at 7:00 AM",Nan
"Friday, February 10, 2023 at 7:00 AM",Nan
"Friday, February 10, 2023 at 7:00 AM",Nan
"Thursday, February 9, 2023 at 7:00 AM",Nan
"Wednesday, February 8, 2023 at 7:43 AM",Nan
"Tuesday, February 7, 2023 at 9:00 AM",Nan
"Tuesday, February 7, 2023 at 7:00 AM",Nan
"Friday, February 3, 2023 at 11:20 PM",Nan
"Wednesday, February 1, 2023 at 12:26 PM",Nan
"Monday, January 30, 2023 at 12:00 PM",Nan
"Thursday, January 26, 2023 at 11:57 AM",Nan
"Wednesday, January 25, 2023 at 5:53 PM",Nan
"Monday, January 16, 2023 at 9:26 PM",Nan
"Sunday, January 15, 2023 at 5:30 AM",Nan
"Thursday, January 12, 2023 at 2:44 PM",Nan
"Monday, January 9, 2023 at 11:06 AM",Nan
"Thursday, December 1, 2022 at 1:57 PM",Nan
