Date,Blackquote,Caption,Like Count,Comment Count,Share Count
"Sunday, September 24, 2023 at 7:40 PM",0,"Have you used our Refer Voucher Code to its full potential yet? You can enjoy many benefits by using this Refer code:
1. Total 60 days of FREE internet instantly
2. Quick installation in less than 24 hours
3. Expedited buying experience
4. Eliminating the wait for installation requests
Start saving time and enjoying instant benefits today! Refer a new connection today: https://bit.ly/43fcDMl
#WorldLink #ReferOffer #vouchercode #INTERNET #GoDirect #ChitoBhanekaiWorldLink #WorldLinkCommunications #worldlinkinternet",87,13,2
"Sunday, September 24, 2023 at 12:54 PM",0,"Warmest congratulations to Paras Khadka from WorldLink on his appointment as the new Secretary of the Cricket Association of Nepal-CAN. We extend our best wishes for his upcoming endeavors in the development of Nepal's cricket team.
#nepalcricket #ParasKhadka #ChitoBhanekaiWorldLink #WorldLinkCommunications #WorldLink",157,8,4
"Saturday, September 23, 2023 at 7:32 AM",0,"Don't miss the upcoming release of the movie 'Jaari' on NetTV! 
 Stay tuned for an exciting cinematic experience.
 #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications #Jaari #NETTV",153,11,1
"Friday, September 22, 2023 at 8:00 AM",0,"Happy World Rhino Day, 
Did you know one-horned rhinos are the largest of the Rhino species?
#FactCheck #WorldRhinoDay  #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",68,1,1
"Wednesday, September 20, 2023 at 7:00 AM","Best wishes for Constitution Day 2075.
#sambhidhandiwas #WorldLink #ChitoBhanekaiWorldLink #WorldLinkCommunications
  · See original
  · Rate this translation",0,94,6,4
"Tuesday, September 19, 2023 at 8:13 PM",0,"Have you upgraded to the latest version of the myWorldLink app? If not, we recommend updating right away to enjoy the benefits of our user-friendly design, created exclusively for our valued customers.
Download Today:
Android:https://bit.ly/41wAYvh
IOS: https://apple.co/3VV6eTo
#WorldLink #WorldLinkCommunications #ChitoBhanekaiWorldLink #newupdates #myWorldLinkapp",90,45,4
"Monday, September 18, 2023 at 10:00 AM",0,"Wishing you a day of creativity and craftsmanship! Happy Bishwakarma Puja 2080!
 #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications #bishwakarmapuja",332,11,1
"Monday, September 18, 2023 at 7:00 AM",0," Wishing you a joyous and colorful Teej filled with love, laughter, and blessings! Happy Teej to all celebrating this special occasion. 
#Teej2023 #happyteej #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",119,3,8
0,0,0,0,WorldLink Communications · Original audio,0
"Friday, September 15, 2023 at 8:10 PM",0,"Today, We celebrated our 28th anniversary with the vision of Connecting Everyone, Anywhere, all the time. We want to express our sincere gratitude to our customers from the bottom of our hearts for the support and trust we have received from them on this journey. We will continue to work toward our goal of providing excellent customer service to our customers in the upcoming days.
सबैलाई जहाँपनि सँधै जोडने भिजनका साथ आज हामी २८ वार्षिकोत्सव मनाएका छौ । यस यात्रामा हाम्रा ग्राहकहरू बाट पाएकोमा सहयोग र विश्वासको लागि हाम्रो ग्राहकहरू लाई हामी हृदयदेखि धन्यवाद दिन चाहन्छौ र यसरी नै आगामी दिनहरूमा हाम्रो ग्राहकको विश्वास र समर्थन पाउने आशाको साथ अगाडि बढ्दै जानेछौ साथै उत्कृष्ट सेवा प्रदान गर्ने वाचा गर्दछौँ |
#WorldLinkAnniversary #WorldLink #ConnectingEveryoneEverywhere #28thAnniversary #moretogo",413,106,18
"Friday, September 15, 2023 at 5:12 PM",0,"From our vision to reality! Celebrating a remarkable 28 years of connectivity with the vision of connecting everyone, anywhere, all the time.
#WorldLinkAnniversary #WorldLink #ConnectingEveryone",486,77,17
"Thursday, September 14, 2023 at 8:24 AM",0,"Happy Father’s day to all the fathers who provide us continuous support and love 
 And congratulations to Mr. Rohit for getting dinner 
 voucher worth Rs.5000, message us to collect your voucher. 
#happyfathersday  #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",199,13,3
"Wednesday, September 13, 2023 at 5:59 PM",0,"नेपाली नारीहरुको महान पर्व हरितालिका तिजको पावन अवसरमा आयोजित बृहत खुल्ला रक्तदान कार्यक्रम हुन गैरहेको छ। तपाईहरुको उपस्थितिको लागि हामी हार्दिक अनुरोध गर्दछौ।
स्थान : भरतपुर -१०. चौबिसकोठी, एयरपोर्ट प्लाजा
#BloodDonationCamp #ChitoBhanekaiWorldLink #WorldLink #WorldLinkCommunications",113,6,20
"Wednesday, September 13, 2023 at 8:42 AM",0,"Heard your dad's favorite line a million times? Share his most iconic dialogue with us and stand a chance to get a dinner worth Rs. 5000 to make Father's Day extra special! 
 To participate:
Comment down your dad's all-time favorite dialogue and use #dadsdialogue 
Only people who follow and like WorldLink's Facebook and Instagram account will be eligible. 
#DadsDialogueCompetition #WorldLink #ChitoBhanekaiWorldLink #WorldLinkCommunications",195,232,12
